Inhibitor	Direction	Deletion
406	26Dimethylpyrazine	up	YDL184C
407	26Dimethylpyrazine	up	YLR285W
408	26Dimethylpyrazine	up	YMR307W
409	26Dimethylpyrazine	up	YOR173W
410	26Dimethylpyrazine	up	YOR234C
411	26Dimethylpyrazine	up	YOR112W
412	26Dimethylpyrazine	up	YOL081W
413	26Dimethylpyrazine	up	YDR539W
414	26Dimethylpyrazine	up	YJR098C
415	26Dimethylpyrazine	up	YGR109C
416	26Dimethylpyrazine	up	YBR266C
417	26Dimethylpyrazine	up	YPL164C
418	26Dimethylpyrazine	up	YNL200C
419	26Dimethylpyrazine	up	YNL293W
420	26Dimethylpyrazine	up	YER046W
421	26Dimethylpyrazine	up	YNL070W
422	26Dimethylpyrazine	up	YMR223W
423	26Dimethylpyrazine	up	YGR250C
424	26Dimethylpyrazine	up	YDL089W
425	26Dimethylpyrazine	up	YGL090W
426	26Dimethylpyrazine	up	YFR041C
427	26Dimethylpyrazine	up	YMR276W
428	26Dimethylpyrazine	up	YGL195W
429	26Dimethylpyrazine	up	YMR025W
430	26Dimethylpyrazine	up	YBR084C-A
431	26Dimethylpyrazine	up	YGL039W
432	26Dimethylpyrazine	up	YIL016W
433	26Dimethylpyrazine	up	YNL302C
434	26Dimethylpyrazine	up	YNL175C
435	26Dimethylpyrazine	up	YGL213C
436	26Dimethylpyrazine	up	YER092W
437	26Dimethylpyrazine	up	YLR406C
438	26Dimethylpyrazine	up	YKR024C
439	26Dimethylpyrazine	up	YOR209C
440	26Dimethylpyrazine	up	YKL090W
441	26Dimethylpyrazine	up	YJL177W
442	26Dimethylpyrazine	up	YIL117C
443	26Dimethylpyrazine	up	YML026C
444	26Dimethylpyrazine	up	YFL051C
445	26Dimethylpyrazine	up	YER059W
446	26Dimethylpyrazine	up	YPL115C
447	26Dimethylpyrazine	up	YJL071W
448	26Dimethylpyrazine	up	YKL093W
449	26Dimethylpyrazine	up	YOL006C
450	26Dimethylpyrazine	up	YOR246C
451	26Dimethylpyrazine	up	YPL067C
452	26Dimethylpyrazine	up	YDR333C
453	26Dimethylpyrazine	up	YBR263W
454	26Dimethylpyrazine	up	YKR026C
455	26Dimethylpyrazine	up	YMR042W
456	26Dimethylpyrazine	up	YLL015W
457	26Dimethylpyrazine	up	YFR009W
458	26Dimethylpyrazine	up	YOR083W
459	26Dimethylpyrazine	up	YOR025W
460	26Dimethylpyrazine	up	YOL075C
461	26Dimethylpyrazine	up	YJR014W
462	26Dimethylpyrazine	up	YPL108W
463	26Dimethylpyrazine	up	YDR244W
464	26Dimethylpyrazine	up	YML063W
465	26Dimethylpyrazine	up	YOR088W
466	26Dimethylpyrazine	up	YLR061W
467	26Dimethylpyrazine	up	YPL230W
468	26Dimethylpyrazine	up	YML010C-B
469	26Dimethylpyrazine	up	YPL079W
470	26Dimethylpyrazine	up	YJL210W
471	26Dimethylpyrazine	up	YGR022C
472	26Dimethylpyrazine	up	YIL053W
473	26Dimethylpyrazine	up	YBR291C
474	26Dimethylpyrazine	up	YLR400W
475	2Methylimidazole	up	YKL139W
476	2Methylimidazole	up	YDR033W
477	2Methylimidazole	up	YGL253W
478	2Methylimidazole	up	YBL027W
479	2Methylimidazole	up	YJR154W
480	2Methylimidazole	up	YCR100C
481	2Methylimidazole	up	YER092W
482	2Methylimidazole	up	YER177W
483	2Methylimidazole	up	YDR455C
484	2Methylimidazole	up	YLR380W
485	2Methylimidazole	up	YLR328W
486	2Methylimidazole	up	YGR292W
487	2Methylimidazole	up	YBR068C
488	2Methylimidazole	up	YGR123C
489	2Methylimidazole	up	YNL301C
490	2Methylimidazole	up	YIL066C
491	2Methylimidazole	up	YBR062C
492	2Methylimidazole	up	YBL104C
493	2Methylimidazole	up	YIR033W
494	2Methylimidazole	up	YMR226C
495	2Methylimidazole	up	YLR437C
496	2Methylimidazole	up	YBR016W
497	2Methylimidazole	up	YPL105C
498	2Methylimidazole	up	YNL106C
499	2Methylimidazole	up	YDR252W
500	2Methylimidazole	up	YIL095W
501	2Methylimidazole	up	YER057C
502	2Methylimidazole	up	YIL117C
503	2Methylimidazole	up	YDR153C
504	2Methylimidazole	up	YML102W
505	2Methylimidazole	up	YER090W
506	2Methylimidazole	up	YLR375W
507	2Methylimidazole	up	YPL196W
508	2Methylimidazole	up	YDL210W
509	2Methylimidazole	up	YER080W
510	2Methylimidazole	up	YAL005C
511	2Methylimidazole	up	YBR269C
512	2Methylimidazole	up	YHR207C
513	2Methylimidazole	up	YNR072W
514	2Methylimidazole	up	YBR129C
515	2Methylimidazole	up	YDR067C
516	2Methylimidazole	up	YLL025W
517	2Methylimidazole	up	YMR162C
518	2Methylimidazole	up	YBR071W
519	2Methylimidazole	up	YDR254W
520	2Methylimidazole	up	YLR296W
521	2Methylimidazole	up	YOL045W
522	2Methylimidazole	up	YGR214W
523	2Methylimidazole	up	YKR084C
524	2Methylimidazole	up	YKR014C
525	2Methylimidazole	up	YOL031C
526	2Methylimidazole	up	YGL216W
527	2Methylimidazole	up	YFL012W
528	2Methylimidazole	up	YNR065C
529	2Methylimidazole	up	YGL249W
530	2Methylimidazole	up	YKL124W
531	2Methylimidazole	up	YPL258C
532	2Methylimidazole	up	YOR193W
533	2Methylimidazole	up	YMR292W
534	2Methylimidazole	up	YDR330W
535	2Methylimidazole	up	YJL093C
536	2Methylimidazole	up	YPL163C
537	2Methylimidazole	up	YGL067W
538	2Methylimidazole	up	YPR141C
539	2Methylimidazole	up	YBL031W
540	2Methylimidazole	up	YOR064C
541	2Methylimidazole	up	YBL062W
542	2Methylimidazole	up	YHR181W
543	2Methylimidazole	up	YLR371W
544	2Methylimidazole	up	YDR452W
545	2Methylimidazole	up	YFR032C-A
546	2Methylimidazole	up	YGR224W
547	2Methylimidazole	up	YOL083W
548	2Methylimidazole	up	YLR032W
549	2Methylimidazole	up	YAL053W
550	2Methylimidazole	up	YMR322C
551	2Methylimidazole	up	YNL336W
552	2Methylimidazole	up	YOL129W
553	2Methylimidazole	up	YLR017W
554	2Methylimidazole	up	YGL086W
555	2Methylimidazole	up	YER081W
556	2Methylimidazole	up	YHR189W
557	2Methylimidazole	up	YGR256W
558	2Methylimidazole	up	YOR347C
